kernel_size,poolsize,Dropout_1,Activation_conv2D,Filters,Dropout_2,Hidden_neurons,Dense_Activation,val_loss,val_acc,val_auc_pr
3,3,0.1,relu,80,0.1,32,tanh,0.07759953290224075,0.9711105823516846,0.9914931058883667
3,3,0.1,relu,80,0.1,64,tanh,0.07050473988056183,0.9744051098823547,0.9939619898796082
3,3,0.1,relu,80,0.2,6,relu,0.06633631139993668,0.9763707518577576,0.9950573444366455
3,3,0.1,relu,80,0.2,12,relu,0.052832771092653275,0.9809941649436951,0.9962077736854553
3,3,0.1,relu,80,0.2,24,relu,0.04666184261441231,0.9842748641967773,0.9974349737167358
3,3,0.1,relu,80,0.2,32,relu,0.044246070086956024,0.9830151796340942,0.9966875910758972
3,3,0.1,relu,80,0.2,64,relu,0.05481666326522827,0.9792638421058655,0.9962062239646912
3,3,0.1,relu,80,0.2,6,sigmoid,0.10137137770652771,0.9599812030792236,0.9907118082046509
3,3,0.1,relu,80,0.2,12,sigmoid,0.07492182403802872,0.9713736176490784,0.9943239092826843
3,3,0.1,relu,80,0.2,24,sigmoid,0.06855630874633789,0.973865270614624,0.9944844841957092
3,3,0.1,relu,80,0.2,32,sigmoid,0.06385841965675354,0.9755402207374573,0.9946649074554443
3,3,0.1,relu,80,0.2,64,sigmoid,0.06658055633306503,0.9757339954376221,0.9948186874389648
3,3,0.1,relu,80,0.2,6,tanh,0.08886874467134476,0.9663210511207581,0.9914268851280212
3,3,0.1,relu,80,0.2,12,tanh,0.07249283790588379,0.9729793071746826,0.9935133457183838
3,3,0.1,relu,80,0.2,24,tanh,0.07875781506299973,0.9714981913566589,0.993719756603241
3,3,0.1,relu,80,0.2,32,tanh,0.07142794877290726,0.9742389917373657,0.9937938451766968
3,3,0.1,relu,80,0.2,64,tanh,0.0761789008975029,0.9711936712265015,0.9922219514846802
3,3,0.1,relu,80,0.3,6,relu,0.09051185846328735,0.9677053093910217,0.9948744773864746
3,3,0.1,relu,80,0.3,12,relu,0.06206467002630234,0.9795407056808472,0.9964448809623718
3,3,0.1,relu,80,0.3,24,relu,0.04698627069592476,0.9835965633392334,0.9967762231826782
3,3,0.1,relu,80,0.3,32,relu,0.05124102160334587,0.9820323586463928,0.9965351819992065
3,3,0.1,relu,80,0.3,64,relu,0.03930901363492012,0.9858806133270264,0.9975497722625732
3,3,0.1,relu,80,0.3,6,sigmoid,0.11844737827777863,0.9560637474060059,0.9890053272247314
3,3,0.1,relu,80,0.3,12,sigmoid,0.09830594807863235,0.959455132484436,0.9911162853240967
3,3,0.1,relu,80,0.3,24,sigmoid,0.07239525020122528,0.9727025032043457,0.9944230318069458
3,3,0.1,relu,80,0.3,32,sigmoid,0.06773320585489273,0.9738237261772156,0.9949029088020325
3,3,0.1,relu,80,0.3,64,sigmoid,0.06533566117286682,0.9744466543197632,0.9943608641624451
3,3,0.1,relu,80,0.3,6,tanh,0.08159767836332321,0.9704184532165527,0.9917668104171753
3,3,0.1,relu,80,0.3,12,tanh,0.0804661363363266,0.9700170159339905,0.9925228357315063
3,3,0.1,relu,80,0.3,24,tanh,0.07790856808423996,0.9707783460617065,0.9915847778320312
3,3,0.1,relu,80,0.3,32,tanh,0.07544378191232681,0.971484363079071,0.9929209351539612
3,3,0.1,relu,80,0.3,64,tanh,0.07856299728155136,0.9705291986465454,0.9927951693534851
3,3,0.1,relu,120,0.1,6,relu,0.060875799506902695,0.9773812890052795,0.9959762692451477
3,3,0.1,relu,120,0.1,12,relu,0.05203881859779358,0.9808557629585266,0.9961094260215759
3,3,0.1,relu,120,0.1,24,relu,0.04133753105998039,0.985659122467041,0.9977793097496033
3,3,0.1,relu,120,0.1,32,relu,0.03922953084111214,0.9857975244522095,0.9976312518119812
3,3,0.1,relu,120,0.1,64,relu,0.032596033066511154,0.9881092309951782,0.9978160858154297
3,3,0.1,relu,120,0.1,6,sigmoid,0.08416295051574707,0.9670823812484741,0.9924185276031494
3,3,0.1,relu,120,0.1,12,sigmoid,0.07101316004991531,0.9728409051895142,0.994210958480835
3,3,0.1,relu,120,0.1,24,sigmoid,0.056317590177059174,0.9799975156784058,0.9961258172988892
3,3,0.1,relu,120,0.1,32,sigmoid,0.05697949230670929,0.9796929955482483,0.9965990781784058
3,3,0.1,relu,120,0.1,64,sigmoid,0.04850336164236069,0.9828906059265137,0.9969849586486816
3,3,0.1,relu,120,0.1,6,tanh,0.0699569508433342,0.9748342633247375,0.9931218028068542
3,3,0.1,relu,120,0.1,12,tanh,0.075653076171875,0.9705430269241333,0.9910038113594055
3,3,0.1,relu,120,0.1,24,tanh,0.07096029818058014,0.9735192060470581,0.9938479661941528
3,3,0.1,relu,120,0.1,32,tanh,0.06492839753627777,0.975401759147644,0.9938206076622009
3,3,0.1,relu,120,0.1,64,tanh,0.06654633581638336,0.9765092134475708,0.9936074614524841
