loss,accuracy,auc,val_loss,val_accuracy,val_auc
0.24690738320350647,0.9016277194023132,0.9596800804138184,0.13992057740688324,0.9469414949417114,0.9859179854393005
0.13418248295783997,0.9496695399284363,0.9845967292785645,0.1106744185090065,0.9591644406318665,0.9914906620979309
0.10267296433448792,0.9614973664283752,0.989453136920929,0.07298541814088821,0.9734084606170654,0.9946808815002441
0.0872977152466774,0.9673650860786438,0.9913676977157593,0.061828162521123886,0.9785025119781494,0.9958444833755493
0.07671834528446198,0.9713425636291504,0.9928058981895447,0.054634012281894684,0.9804127812385559,0.9963496327400208
0.0683576762676239,0.9745863676071167,0.9937365055084229,0.04623555764555931,0.9846347570419312,0.9977030754089355
0.0633285865187645,0.9764628410339355,0.9942436218261719,0.043009497225284576,0.984828531742096,0.997551679611206
0.05891228839755058,0.9781039357185364,0.994631290435791,0.04533551260828972,0.9822261333465576,0.9957131147384644
0.05602160096168518,0.9794943928718567,0.9949346780776978,0.04020549729466438,0.9861159324645996,0.9972878694534302
0.05282929912209511,0.9805572032928467,0.995272696018219,0.03951621428132057,0.9852853417396545,0.9969965815544128
0.0507829450070858,0.9813293218612671,0.9953782558441162,0.042869072407484055,0.9843025207519531,0.9961074590682983
0.048539962619543076,0.9821967482566833,0.9956061244010925,0.02931866981089115,0.9897565245628357,0.9982246160507202
0.047821033746004105,0.9825105667114258,0.9956613779067993,0.03522201254963875,0.9870156645774841,0.9972460269927979
0.045779239386320114,0.9830288887023926,0.9959072470664978,0.03401141241192818,0.988040030002594,0.9977532029151917
0.0445050448179245,0.9837056398391724,0.9959394931793213,0.03339838981628418,0.9877631664276123,0.997755765914917
0.043519027531147,0.9840378761291504,0.9961248636245728,0.027154430747032166,0.990254819393158,0.9986624717712402
0.04253052920103073,0.9844715595245361,0.996088981628418,0.02869626134634018,0.990088701248169,0.9984941482543945
0.041945211589336395,0.9844992756843567,0.9960985779762268,0.03333975374698639,0.9870018362998962,0.9971627593040466
0.041948191821575165,0.98442542552948,0.9960916042327881,0.032450444996356964,0.9878600835800171,0.9968624114990234
0.04014798253774643,0.9852421879768372,0.9962387084960938,0.026317575946450233,0.9907255172729492,0.9985255599021912
0.04012935236096382,0.9853882789611816,0.9962318539619446,0.03119525872170925,0.9889121055603027,0.9968540668487549
0.038861215114593506,0.9857282042503357,0.9964276552200317,0.028792105615139008,0.9898533821105957,0.9980790615081787
0.03898920118808746,0.9857712388038635,0.9964566826820374,0.028324097394943237,0.9894519448280334,0.9982832670211792
0.037751704454422,0.9861249923706055,0.9965581297874451,0.023430172353982925,0.9924004077911377,0.9988442659378052
0.03783630207180977,0.9861249923706055,0.9965174794197083,0.024468297138810158,0.9910438656806946,0.9978723526000977
0.03760524094104767,0.986340343952179,0.9963300824165344,0.026361830532550812,0.9910023212432861,0.9985229969024658
0.03734762966632843,0.9864264726638794,0.9964157342910767,0.021559465676546097,0.9924004077911377,0.9987569451332092
0.037582214921712875,0.9862603545188904,0.9964412450790405,0.020952245220541954,0.9927326440811157,0.9989314079284668
0.03713051602244377,0.9865433573722839,0.9964261054992676,0.02577519230544567,0.9908777475357056,0.9984578490257263
0.036017872393131256,0.9869171380996704,0.9966288805007935,0.026176704093813896,0.9897841811180115,0.9982995390892029
0.035809170454740524,0.9867956042289734,0.9966158866882324,0.03265939652919769,0.9876663088798523,0.9967998266220093
0.03556894510984421,0.9870001673698425,0.9967341423034668,0.019782664254307747,0.9932032823562622,0.9987878203392029
0.03509313613176346,0.9872201085090637,0.9966891407966614,0.035639479756355286,0.98582524061203,0.9966675043106079
0.0349210761487484,0.9871724247932434,0.9966778755187988,0.021306060254573822,0.9921650886535645,0.9987054467201233
0.03482286259531975,0.9872862696647644,0.9966685771942139,0.02414979599416256,0.9910992383956909,0.9978442788124084
0.034344710409641266,0.9875600337982178,0.9966801404953003,0.024965109303593636,0.9909331202507019,0.9979709386825562
0.03385738283395767,0.9875677227973938,0.9968079924583435,0.03161298856139183,0.9877493381500244,0.9973562955856323
