AN00,AN01,AN02,AN03,AN04,AN05,AN06,AN07,AN08,AN09,AN10,AN11,AN12,AN13,AN14,AN15,AN16,AN17,AN18,AN19,AN20,AN21,AN22,AN23,AN24,AN25,AN26,AN27,AN28,AN29,M00,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,BN00,BN01,BN02,BN03,BN04,BN05,BN06,BN07,BN08,BN09,BN10,BN11,BN12,BN13,BN14,BN15,BN16,BN17,BN18,BN19,BN20,BN21,BN22,BN23,BN24,BN25,BN26,BN27,BN28,BN29,Detector,sm,ADCSUM,MXmax,MXavg,MXRatio,Amax,Aavg,ARatio,Bmax,Bavg,BRatio,Asum,MXsum,Bsum
11,10,10,9,11,12,10,11,11,9,12,14,13,18,19,18,24,31,24,26,30,44,37,31,24,18,17,19,12,16,9,10,9,8,9,8,9,9,7,13,11,7,10,12,11,13,13,14,15,20,59,125,112,70,46,36,31,28,26,23,11,11,9,12,10,11,11,9,10,8,10,13,11,10,10,10,8,11,9,12,14,19,18,13,14,12,13,10,12,11,250,8,1666,125,25.766666666666666,0.20613333333333334,44,18.366666666666667,0.4174242424242424,19,11.4,0.6,551,773,342
23,58,65,51,37,28,21,20,20,16,17,14,15,14,13,14,11,15,11,14,14,11,13,13,14,14,12,12,11,13,16,44,72,70,53,43,32,31,27,25,25,19,22,16,19,18,15,16,14,12,16,15,16,13,14,11,10,13,13,9,8,10,11,14,14,12,15,15,16,26,32,32,37,37,34,27,24,22,21,19,17,16,15,15,11,14,14,11,11,14,251,8,1887,72,23.966666666666665,0.33287037037037037,65,20.133333333333333,0.30974358974358973,37,18.8,0.5081081081081081,604,719,564
11,12,12,13,15,16,21,49,111,121,98,76,60,52,55,55,52,45,41,44,47,43,35,29,27,24,22,24,22,21,87,174,168,151,208,248,184,131,95,75,63,57,49,46,44,41,39,36,35,31,30,27,26,26,24,23,22,20,19,19,18,27,25,22,26,32,27,23,17,18,15,16,15,14,11,14,11,13,11,12,12,14,13,12,11,11,12,10,11,12,297,9,3936,248,73.26666666666667,0.2954301075268817,121,41.766666666666666,0.34517906336088156,32,16.166666666666668,0.5052083333333334,1253,2198,485
12,19,26,20,25,40,32,28,26,26,20,18,18,17,13,12,11,14,13,14,12,13,13,12,14,10,15,12,12,10,10,10,12,12,18,26,25,25,41,46,35,26,27,25,22,23,21,21,18,15,15,15,15,13,13,15,13,15,11,15,12,10,9,11,9,9,11,13,15,15,14,13,14,19,17,26,28,30,31,26,25,21,19,15,12,16,14,16,12,14,229,7,1621,46,19.933333333333334,0.43333333333333335,40,17.566666666666666,0.43916666666666665,31,16.533333333333335,0.5333333333333334,527,598,496
10,12,11,12,12,11,10,6,10,10,11,10,9,15,15,18,16,18,17,20,36,51,37,26,20,19,17,16,16,13,10,11,9,11,11,11,10,10,10,13,12,26,78,97,70,47,36,28,23,22,25,20,17,16,18,15,16,15,14,16,16,34,33,26,22,20,16,13,14,14,14,12,11,12,12,11,13,13,13,11,12,13,11,12,9,11,10,11,8,11,243,8,1659,97,23.9,0.24639175257731957,51,16.8,0.32941176470588235,34,14.6,0.4294117647058823,504,717,438
9,9,11,12,6,9,9,10,10,9,10,12,26,39,40,35,27,22,17,18,16,17,14,14,12,14,12,13,10,12,11,11,13,11,12,10,14,17,16,19,20,17,19,28,35,32,26,25,22,19,21,21,20,17,16,13,12,15,12,14,11,9,8,9,11,9,18,32,36,38,31,22,18,17,16,13,12,13,13,14,13,12,14,12,12,14,13,12,11,10,243,8,1485,35,17.933333333333334,0.5123809523809524,40,15.8,0.395,38,15.766666666666667,0.4149122807017544,474,538,473
18,23,24,17,16,17,20,17,16,13,15,16,14,15,11,12,12,11,17,17,23,20,18,13,19,18,12,13,11,11,14,23,19,16,18,21,21,21,20,17,18,16,17,15,17,14,13,16,32,93,127,106,71,50,48,46,43,37,31,31,9,10,10,12,11,11,10,10,9,9,14,11,10,10,11,11,11,13,16,31,46,38,28,23,22,24,20,18,18,16,181,6,2002,127,34.36666666666667,0.2706036745406824,24,15.966666666666667,0.6652777777777777,46,16.4,0.3565217391304348,479,1031,492
17,21,18,17,14,14,12,11,13,12,13,12,11,11,8,12,11,14,10,10,11,13,10,11,12,11,8,12,9,9,77,185,148,92,64,58,54,44,38,37,33,29,30,24,24,24,26,24,24,20,18,19,18,18,18,16,16,14,14,13,38,86,70,48,37,42,44,37,33,39,36,32,24,24,24,26,32,41,34,31,28,26,22,21,16,19,16,16,14,16,290,9,2558,185,40.63333333333333,0.21963963963963964,21,12.233333333333333,0.5825396825396825,86,32.4,0.3767441860465116,367,1219,972
15,35,35,33,28,25,22,18,17,13,12,13,12,15,13,12,12,12,13,12,12,12,13,11,9,13,11,11,9,9,16,34,37,41,36,32,27,23,20,19,21,18,21,20,21,19,17,15,15,11,13,14,15,13,14,10,12,12,12,9,10,12,11,14,13,14,13,17,14,12,16,22,26,32,42,35,29,22,21,20,20,18,17,15,13,15,12,13,12,14,396,13,1608,41,19.566666666666666,0.4772357723577236,35,15.9,0.4542857142857143,42,18.133333333333333,0.4317460317460317,477,587,544
21,28,28,28,27,24,20,18,14,13,15,13,13,13,14,13,13,11,12,12,10,10,10,11,12,10,12,12,10,11,13,14,16,27,26,24,26,21,21,27,25,27,25,22,19,16,18,18,14,11,15,12,13,12,12,13,11,12,12,13,12,11,10,9,9,13,14,12,11,14,13,19,20,17,14,14,13,12,14,10,12,9,10,10,12,11,12,11,9,11,401,13,1361,27,17.833333333333332,0.6604938271604938,28,15.266666666666667,0.5452380952380953,20,12.266666666666667,0.6133333333333334,458,535,368
14,20,18,17,15,13,11,13,13,12,11,12,12,8,12,12,10,10,11,10,10,11,7,12,8,9,11,10,11,12,16,28,30,24,23,28,33,26,24,24,21,16,17,16,18,14,15,15,13,12,14,11,11,14,15,12,11,12,12,10,9,13,11,11,11,16,20,18,19,23,18,18,17,19,23,23,20,21,21,24,26,28,20,18,18,15,15,14,12,12,91,3,1423,33,17.833333333333332,0.5404040404040403,20,11.833333333333334,0.5916666666666667,28,17.766666666666666,0.6345238095238095,355,535,533
10,8,11,11,12,10,9,11,6,10,11,10,9,10,10,8,14,17,27,30,25,20,20,17,15,13,13,13,12,12,59,138,115,73,47,36,33,28,27,25,23,21,20,20,18,18,16,17,17,15,14,14,14,13,14,15,14,13,14,13,11,7,9,10,10,9,8,11,10,10,9,10,10,11,10,10,10,9,10,15,29,41,37,27,20,18,15,14,16,12,94,3,1736,138,30.133333333333333,0.21835748792270532,30,13.466666666666667,0.4488888888888889,41,14.266666666666667,0.34796747967479674,404,904,428
