AN00,AN01,AN02,AN03,AN04,AN05,AN06,AN07,AN08,AN09,AN10,AN11,AN12,AN13,AN14,AN15,AN16,AN17,AN18,AN19,AN20,AN21,AN22,AN23,AN24,AN25,AN26,AN27,AN28,AN29,M00,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,BN00,BN01,BN02,BN03,BN04,BN05,BN06,BN07,BN08,BN09,BN10,BN11,BN12,BN13,BN14,BN15,BN16,BN17,BN18,BN19,BN20,BN21,BN22,BN23,BN24,BN25,BN26,BN27,BN28,BN29,Detector,sm,ADCSUM,MXmax,MXavg,MXRatio,Amax,Aavg,ARatio,Bmax,Bavg,BRatio,Asum,MXsum,Bsum
11,9,10,10,9,10,11,8,10,11,13,17,20,18,17,15,15,12,9,12,12,11,13,10,10,9,13,9,10,9,16,27,26,21,26,35,32,28,21,22,24,22,19,17,16,18,17,17,17,20,21,22,18,16,14,16,14,14,11,14,8,9,10,10,9,11,8,12,9,12,9,10,12,13,18,18,27,32,27,21,17,18,17,13,14,12,12,13,14,13,185,6,1382,35,20.033333333333335,0.5723809523809524,20,11.766666666666667,0.5883333333333334,32,14.266666666666667,0.44583333333333336,353,601,428
16,25,26,19,16,13,10,13,13,12,11,14,12,15,13,12,12,11,11,10,12,10,12,10,9,9,11,10,12,10,15,28,27,26,23,22,19,16,17,20,22,23,21,17,18,31,47,38,32,30,26,23,20,17,18,16,15,16,14,13,10,9,10,12,13,12,12,12,8,12,12,15,13,14,12,26,39,34,33,36,32,26,22,19,20,16,15,17,16,14,20,0,1600,47,22.333333333333332,0.47517730496453897,26,12.966666666666667,0.4987179487179487,39,18.033333333333335,0.4623931623931624,389,670,541
11,15,18,21,17,12,15,15,13,13,12,12,13,12,10,11,13,11,10,10,10,11,12,9,10,8,10,8,12,11,13,22,41,45,35,27,24,21,24,22,22,23,19,19,18,18,19,17,17,14,15,14,13,15,13,14,12,14,11,11,8,12,13,15,11,11,11,14,12,13,14,14,13,14,13,15,18,15,20,18,16,18,18,16,14,11,9,13,11,13,21,0,1370,45,19.733333333333334,0.43851851851851853,21,12.166666666666666,0.5793650793650793,20,13.766666666666667,0.6883333333333334,365,592,413
18,27,26,22,21,20,20,18,19,19,15,16,17,15,14,15,14,14,15,12,12,13,12,10,12,12,12,11,11,10,12,12,11,14,16,17,17,17,19,23,18,16,20,23,24,33,35,31,26,24,22,20,19,17,16,12,13,15,12,13,11,10,10,9,8,12,11,9,9,11,11,9,10,10,14,13,13,13,11,14,13,16,14,9,12,9,11,8,10,8,23,0,1367,35,18.9,0.5399999999999999,27,15.733333333333333,0.582716049382716,16,10.933333333333334,0.6833333333333333,472,567,328
8,10,11,8,11,8,10,14,10,10,9,9,15,24,29,26,24,21,18,18,18,18,14,15,14,14,12,12,13,12,9,13,12,14,14,14,20,29,27,23,18,25,25,28,31,30,31,25,21,19,15,15,17,14,12,13,13,12,15,13,9,9,7,11,9,9,13,12,11,11,11,15,19,26,38,42,39,29,23,20,19,18,17,15,16,12,12,13,13,12,428,14,1512,31,18.9,0.6096774193548387,29,14.5,0.5,42,17.0,0.40476190476190477,435,567,510
16,31,30,24,19,18,20,23,26,26,32,28,25,20,19,15,17,25,39,35,27,20,19,19,17,14,14,13,14,14,11,11,11,12,8,11,14,12,16,15,22,21,22,16,15,13,20,56,115,106,71,48,37,29,26,25,22,21,20,18,8,9,10,11,11,8,10,12,10,11,8,11,9,7,9,12,10,14,17,17,14,13,11,12,12,13,10,9,8,12,280,9,1831,115,28.133333333333333,0.24463768115942028,39,21.966666666666665,0.5632478632478632,17,10.933333333333334,0.6431372549019608,659,844,328
9,14,15,17,20,21,17,13,10,13,12,12,12,12,13,9,11,11,11,11,10,11,13,11,13,10,8,10,8,9,9,8,11,10,11,10,8,10,10,11,13,10,9,11,12,16,28,40,36,36,32,27,24,21,17,16,15,14,16,15,9,10,9,13,10,9,11,11,9,10,10,10,8,8,9,12,9,11,14,30,39,40,30,22,18,15,16,14,12,13,480,16,1313,40,16.866666666666667,0.4216666666666667,21,12.2,0.5809523809523809,40,14.7,0.3675,366,506,441
9,10,13,11,14,21,31,34,35,33,34,38,44,42,41,50,65,70,76,86,83,69,49,39,34,30,28,25,24,24,38,83,91,88,84,153,256,273,247,215,191,172,169,148,127,119,120,113,103,93,85,75,64,55,51,45,45,40,37,33,56,121,111,87,70,78,95,91,75,64,54,45,43,37,32,31,28,28,23,23,24,21,19,21,17,18,16,17,18,16,481,16,5954,273,113.76666666666667,0.41672771672771675,86,38.733333333333334,0.4503875968992248,121,45.96666666666667,0.37988980716253445,1162,3413,1379
11,13,14,16,18,19,16,20,16,22,24,29,36,48,62,67,77,98,113,118,115,95,65,50,41,37,34,29,30,27,59,121,114,117,130,121,101,80,76,80,84,92,97,106,103,100,89,90,86,76,67,54,49,42,39,33,31,30,27,26,76,144,122,94,77,62,52,42,37,34,32,34,30,31,24,26,22,21,21,22,18,17,17,16,16,16,16,15,12,14,481,16,4840,130,77.33333333333333,0.5948717948717949,118,45.333333333333336,0.384180790960452,144,38.666666666666664,0.2685185185185185,1360,2320,1160
8,9,12,8,10,10,11,10,11,9,10,10,9,9,9,9,10,10,11,10,11,16,13,13,10,11,12,9,11,11,21,79,92,63,43,32,27,25,21,21,17,19,18,14,17,16,17,16,13,15,13,14,12,13,12,12,12,11,12,13,34,77,65,50,36,29,24,22,19,17,14,17,16,14,15,13,13,14,14,12,14,12,11,12,12,11,13,11,12,13,530,17,1658,92,23.666666666666668,0.25724637681159424,16,10.4,0.65,77,21.2,0.2753246753246753,312,710,636
11,23,35,44,46,48,41,30,25,23,25,23,21,22,20,18,21,19,24,26,26,21,20,16,18,15,17,13,13,13,8,11,11,12,14,19,21,27,43,80,94,135,155,152,151,179,201,177,154,131,109,84,71,61,53,50,46,40,38,37,13,20,26,31,35,54,56,47,40,38,48,53,44,38,34,32,34,32,29,31,31,30,25,23,21,18,20,17,17,14,532,17,4032,201,78.8,0.39203980099502483,48,23.9,0.4979166666666666,56,31.7,0.5660714285714286,717,2364,951
10,10,10,12,8,17,46,63,46,30,26,19,19,17,16,14,15,14,14,15,16,13,13,13,13,11,12,10,13,12,10,8,7,11,11,22,82,97,66,43,35,24,21,23,21,18,18,17,18,17,16,14,13,15,15,14,14,13,13,13,11,10,10,10,9,16,29,28,24,17,16,16,14,12,13,14,9,10,12,11,12,10,12,11,13,13,12,11,12,11,121,4,1664,97,23.633333333333333,0.2436426116838488,63,18.233333333333334,0.2894179894179894,29,13.6,0.4689655172413793,547,709,408
13,18,18,16,14,15,13,12,12,14,11,11,13,12,11,12,12,13,10,10,11,10,10,10,11,7,9,10,12,10,18,27,23,30,38,33,27,20,24,21,23,22,18,18,18,18,20,20,16,12,14,15,16,14,14,12,15,11,12,11,11,12,10,12,14,13,13,14,16,16,18,18,16,17,18,19,24,25,24,21,20,19,17,15,14,12,14,14,13,15,355,11,1424,38,19.333333333333332,0.5087719298245613,18,12.0,0.6666666666666666,25,16.133333333333333,0.6453333333333333,360,580,484
14,17,18,14,15,11,11,10,11,11,14,13,11,10,11,8,11,9,12,10,10,11,11,8,8,12,11,11,12,11,24,55,45,34,34,37,33,29,25,28,24,27,24,19,19,17,17,17,16,16,16,15,14,13,13,13,12,11,12,13,12,14,15,13,16,16,19,15,15,16,17,23,20,16,17,16,21,22,19,18,17,16,14,14,13,12,12,11,11,10,356,11,1488,55,22.4,0.40727272727272723,18,11.533333333333333,0.6407407407407407,23,15.666666666666666,0.6811594202898551,346,672,470
11,21,39,41,35,25,19,16,16,16,13,13,12,14,13,14,14,11,12,11,13,12,13,12,15,11,13,12,11,15,19,87,126,104,76,55,40,34,29,27,24,23,22,21,19,19,19,15,17,17,15,16,15,17,14,13,12,12,15,12,11,27,47,53,57,47,40,32,26,21,22,19,18,18,15,15,15,13,15,14,14,13,11,11,13,11,13,12,13,14,536,17,2077,126,31.133333333333333,0.24708994708994708,41,16.433333333333334,0.4008130081300813,57,21.666666666666668,0.3801169590643275,493,934,650
8,10,7,10,11,7,10,12,11,30,60,67,53,39,33,25,23,20,19,19,18,17,15,15,12,14,14,14,13,14,10,10,9,9,10,11,10,9,9,17,39,57,65,66,71,63,50,39,29,27,25,22,22,19,19,19,16,17,16,17,12,11,13,8,10,11,9,10,11,11,12,11,16,23,46,71,84,76,54,42,32,26,24,21,21,20,15,17,16,14,537,17,2169,71,26.733333333333334,0.37652582159624415,67,20.666666666666668,0.3084577114427861,84,24.9,0.29642857142857143,620,802,747
